Longitude,Latitude,Pixel,Scan
27.1874083,61.0929548,500,800
27.2194701,61.0924661,600,800
27.2515293,61.0919698,700,800
27.2835862,61.091466,800,800
27.3156407,61.0909546,900,800
27.347693,61.0904356,1000,800
27.3797434,61.0899091,1100,800
27.4117917,61.0893751,1200,800
27.4438383,61.0888335,1300,800
27.4758831,61.0882843,1400,800
27.5079264,61.0877276,1500,800
27.5399682,61.0871633,1600,800
27.5720086,61.0865914,1700,800
27.6040479,61.086012,1800,800
27.636086,61.085425,1900,800
27.6681231,61.0848305,2000,800
27.7001593,61.0842284,2100,800
27.7321947,61.0836187,2200,800
27.7642296,61.0830014,2300,800
27.7962638,61.0823766,2400,800
27.8282977,61.0817442,2500,800
27.8603313,61.0811042,2600,800
27.8923647,61.0804566,2700,800
27.924398,61.0798014,2800,800
27.9564314,61.0791386,2900,800
27.9884649,61.0784683,3000,800
28.0204988,61.0777903,3100,800
28.0525331,61.0771047,3200,800
28.0845678,61.0764116,3300,800
28.1166033,61.0757108,3400,800
28.1486395,61.0750024,3500,800
28.1806765,61.0742864,3600,800
28.2127146,61.0735628,3700,800
28.2447538,61.0728315,3800,800
28.2767942,61.0720926,3900,800
28.3085155,61.0713536,3999,800
27.0259154,61.0787299,0,900
27.057977,61.0782792,100,900
27.0900355,61.0778208,200,900
27.122091,61.077355,300,900
27.1541437,61.0768815,400,900
27.1861936,61.0764006,500,900
27.2182408,61.0759121,600,900
27.2502856,61.075416,700,900
27.2823279,61.0749124,800,900
27.314368,61.0744013,900,900
27.3464058,61.0738826,1000,900
27.3784417,61.0733563,1100,900
27.4104755,61.0728225,1200,900
27.4425076,61.0722812,1300,900
27.474538,61.0717323,1400,900
27.5065668,61.0711758,1500,900
27.5385941,61.0706118,1600,900
27.5706201,61.0700402,1700,900
27.6026448,61.0694611,1800,900
27.6346685,61.0688744,1900,900
27.6666911,61.0682801,2000,900
27.6987129,61.0676783,2100,900
27.7307339,61.0670689,2200,900
27.7627542,61.0664519,2300,900
27.794774,61.0658274,2400,900
27.8267934,61.0651953,2500,900
27.8588126,61.0645556,2600,900
27.8908315,61.0639083,2700,900
27.9228504,61.0632535,2800,900
27.9548693,61.062591,2900,900
27.9868884,61.061921,3000,900
28.0189078,61.0612434,3100,900
28.0509277,61.0605581,3200,900
28.082948,61.0598653,3300,900
28.114969,61.0591649,3400,900
28.1469907,61.0584568,3500,900
28.1790134,61.0577412,3600,900
28.211037,61.0570179,3700,900
28.2430617,61.056287,3800,900
28.2750877,61.0555485,3900,900
28.3067947,61.0548098,3999,900
27.0247667,61.0621762,0,1000
27.0568139,61.0617257,100,1000
27.0888579,61.0612676,200,1000
27.120899,61.0608019,300,1000
27.1529372,61.0603287,400,1000
27.1849726,61.059848,500,1000
27.2170054,61.0593597,600,1000
27.2490356,61.0588639,700,1000
27.2810635,61.0583605,800,1000
27.3130891,61.0578496,900,1000
27.3451125,61.0573311,1000,1000
27.3771339,61.0568051,1100,1000
27.4091533,61.0562716,1200,1000
27.4411709,61.0557305,1300,1000
27.4731868,61.0551819,1400,1000
27.5052012,61.0546257,1500,1000
27.537214,61.0540619,1600,1000
27.5692256,61.0534906,1700,1000
27.6012359,61.0529118,1800,1000
27.6332451,61.0523254,1900,1000
27.6652532,61.0517314,2000,1000
27.6972606,61.0511298,2100,1000
27.7292671,61.0505207,2200,1000
27.761273,61.0499041,2300,1000
27.7932784,61.0492798,2400,1000
27.8252834,61.048648,2500,1000
27.8572881,61.0480087,2600,1000
27.8892926,61.0473617,2700,1000
27.921297,61.0467072,2800,1000
27.9533015,61.046045,2900,1000
27.9853062,61.0453753,3000,1000
28.0173112,61.044698,3100,1000
28.0493166,61.0440131,3200,1000
28.0813225,61.0433207,3300,1000
28.113329,61.0426206,3400,1000
28.1453364,61.0419129,3500,1000
28.1773446,61.0411976,3600,1000
28.2093538,61.0404747,3700,1000
28.2413641,61.0397441,3800,1000
28.2733756,61.039006,3900,1000
28.3050684,61.0382677,3999,1000
27.0236169,61.0456145,0,1100
27.0556496,61.0451641,100,1100
27.0876791,61.0447062,200,1100
27.1197057,61.0442408,300,1100
27.1517294,61.0437678,400,1100
27.1837504,61.0432873,500,1100
27.2157687,61.0427992,600,1100
27.2477845,61.0423037,700,1100
27.2797979,61.0418005,800,1100
27.3118091,61.0412899,900,1100
27.343818,61.0407717,1000,1100
27.375825,61.0402459,1100,1100
27.4078299,61.0397126,1200,1100
27.4398331,61.0391718,1300,1100
27.4718346,61.0386234,1400,1100
27.5038345,61.0380675,1500,1100
27.5358329,61.037504,1600,1100
27.56783,61.036933,1700,1100
27.5998258,61.0363544,1800,1100
27.6318206,61.0357683,1900,1100
27.6638143,61.0351746,2000,1100
27.6958072,61.0345734,2100,1100
27.7277993,61.0339646,2200,1100
27.7597908,61.0333482,2300,1100
27.7917818,61.0327243,2400,1100
27.8237723,61.0320928,2500,1100
27.8557626,61.0314537,2600,1100
27.8877527,61.0308071,2700,1100
27.9197427,61.0301528,2800,1100
27.9517328,61.029491,2900,1100
27.983723,61.0288217,3000,1100
28.0157136,61.0281447,3100,1100
28.0477045,61.0274602,3200,1100
28.079696,61.026768,3300,1100
28.1116882,61.0260683,3400,1100
28.1436811,61.0253609,3500,1100
28.1756749,61.024646,3600,1100
28.2076697,61.0239234,3700,1100
28.2396656,61.0231932,3800,1100
28.2716627,61.0224554,3900,1100
28.3033412,61.0217175,3999,1100
27.0224787,61.029064,0,1200
27.0544969,61.0286138,100,1200
27.0865121,61.0281561,200,1200
27.1185242,61.0276909,300,1200
27.1505335,61.0272181,400,1200
27.18254,61.0267378,500,1200
27.2145439,61.02625,600,1200
27.2465453,61.0257546,700,1200
