region,frame,variant,score,decision
0,0,original,0.7185624241828918,1
0,0,noise,0.688758134841919,1
0,0,rotated,0.610328197479248,1
0,0,brightness,0.6847818493843079,1
0,1,original,0.686154842376709,1
0,1,noise,0.653090238571167,1
0,1,rotated,0.5722990036010742,1
0,1,brightness,0.6533383727073669,1
0,2,original,0.6519727110862732,1
0,2,noise,0.6317701935768127,1
0,2,rotated,0.5574054718017578,1
0,2,brightness,0.6242327690124512,1
0,3,original,0.6131904721260071,1
0,3,noise,0.5807498097419739,1
0,3,rotated,0.5404989719390869,1
0,3,brightness,0.5733785033226013,1
0,4,original,0.5973876118659973,1
0,4,noise,0.5666050314903259,1
0,4,rotated,0.5383309125900269,1
0,4,brightness,0.5726092457771301,1
0,5,original,0.580581784248352,1
0,5,noise,0.5541531443595886,1
0,5,rotated,0.5291000604629517,1
0,5,brightness,0.5610381364822388,1
0,6,original,0.5722553730010986,1
0,6,noise,0.5577686429023743,1
0,6,rotated,0.5172517895698547,1
0,6,brightness,0.5546174049377441,1
0,7,original,0.5697714686393738,1
0,7,noise,0.5712568163871765,1
0,7,rotated,0.49630090594291687,0
0,7,brightness,0.531940758228302,1
0,8,original,0.5751873254776001,1
0,8,noise,0.5584703087806702,1
0,8,rotated,0.5136913657188416,1
0,8,brightness,0.5510266423225403,1
0,9,original,0.6238366961479187,1
0,9,noise,0.6002745032310486,1
0,9,rotated,0.5156066417694092,1
0,9,brightness,0.5818214416503906,1
0,10,original,0.6461551785469055,1
0,10,noise,0.6191849112510681,1
0,10,rotated,0.5390632748603821,1
0,10,brightness,0.5970764756202698,1
0,11,original,0.6801258325576782,1
0,11,noise,0.6482870578765869,1
0,11,rotated,0.5626545548439026,1
0,11,brightness,0.6255601644515991,1
0,12,original,0.6539058089256287,1
0,12,noise,0.6645047068595886,1
0,12,rotated,0.6066246032714844,1
0,12,brightness,0.641941487789154,1
0,13,original,0.7096385955810547,1
0,13,noise,0.690398633480072,1
0,13,rotated,0.6551804542541504,1
0,13,brightness,0.6542423963546753,1
0,14,original,0.7170516848564148,1
0,14,noise,0.6849378943443298,1
0,14,rotated,0.6981832385063171,1
0,14,brightness,0.6648126840591431,1
0,15,original,0.6784131526947021,1
0,15,noise,0.6620711088180542,1
0,15,rotated,0.72544926404953,1
0,15,brightness,0.6321729421615601,1
0,16,original,0.6626304984092712,1
0,16,noise,0.6234851479530334,1
0,16,rotated,0.7471408843994141,1
0,16,brightness,0.6233730316162109,1
0,17,original,0.6467937231063843,1
0,17,noise,0.6455489993095398,1
0,17,rotated,0.751190185546875,1
0,17,brightness,0.6147628426551819,1
0,18,original,0.6411650776863098,1
0,18,noise,0.6365393996238708,1
0,18,rotated,0.7181314826011658,1
